ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
91901,10,2023,R,Y,3337,1022756,306
91902,10,2023,R,N,1263,306980,243
91905,10,2023,R,Y,0,0,0
91906,10,2023,R,Y,675,38636,57
91910,10,2023,R,Y,5215,1343398,258
91911,10,2023,R,Y,4427,1242715,281
91912,10,2023,R,Y,0,0,0
91913,10,2023,R,N,4527,1517046,335
91914,10,2023,R,N,648,205172,317
91915,10,2023,R,Y,2678,1061561,396
91916,10,2023,R,Y,0,0,0
91917,10,2023,R,Y,0,0,0
91931,10,2023,R,Y,0,0,0
91932,10,2023,R,N,2881,699334,243
91934,10,2023,R,Y,0,0,0
91935,10,2023,R,N,1089,272351,250
91941,10,2023,R,N,3384,846691,250
91942,10,2023,R,N,5013,1504399,300
91945,10,2023,R,N,9069,2870677,317
91948,10,2023,R,Y,0,0,0
91950,10,2023,R,Y,2580,801259,311
91962,10,2023,R,Y,0,0,0
91963,10,2023,R,Y,0,0,0
91977,10,2023,R,N,4864,850033,175
91978,10,2023,R,N,843,180481,214
91980,10,2023,R,Y,0,0,0
92003,10,2023,R,N,695,81199,117
92004,10,2023,R,Y,667,59826,90
92007,10,2023,R,N,997,273718,275
92008,10,2023,R,N,4422,1273481,288
92009,10,2023,R,N,3941,1149250,292
92010,10,2023,R,N,2207,857548,389
92011,10,2023,R,N,2652,813513,307
92014,10,2023,R,N,1777,635703,358
92019,10,2023,R,N,8117,2744183,338
92020,10,2023,R,N,19777,6963451,352
92021,10,2023,R,N,13101,5030252,384
92024,10,2023,R,Y,4007,1129497,282
92025,10,2023,R,Y,3472,663560,191
92026,10,2023,R,N,4295,874053,204
92027,10,2023,R,Y,4334,695614,161
92028,10,2023,R,N,6091,1261631,207
92029,10,2023,R,N,2455,1244106,507
92036,10,2023,R,Y,469,173432,370
92037,10,2023,R,Y,4723,1688375,357
92040,10,2023,R,N,4486,1731001,386
92045,10,2023,R,Y,0,0,0
92049,10,2023,R,Y,0,0,0
92054,10,2023,R,Y,15957,4497604,282
92055,10,2023,R,Y,0,0,0
92056,10,2023,R,N,20536,5765431,281
92057,10,2023,R,N,19691,5519828,280
92058,10,2023,R,Y,7116,3105614,436
92059,10,2023,R,N,432,251118,581
92060,10,2023,R,Y,0,0,0
92061,10,2023,R,N,461,191443,415
92064,10,2023,R,Y,15681,5101021,325
92065,10,2023,R,Y,5080,1205216,237
92066,10,2023,R,Y,0,0,0
92067,10,2023,R,N,1138,770637,677
92068,10,2023,R,Y,0,0,0
92069,10,2023,R,Y,3620,526235,145
92070,10,2023,R,Y,0,0,0
92071,10,2023,R,Y,20003,7633725,382
92072,10,2023,R,Y,0,0,0
92075,10,2023,R,N,5656,2022499,358
92078,10,2023,R,N,4581,1134114,248
92079,10,2023,R,Y,0,0,0
92081,10,2023,R,Y,11091,3509188,316
92082,10,2023,R,Y,3213,719059,224
92083,10,2023,R,N,10988,3470146,316
92084,10,2023,R,Y,12769,3704254,290
92085,10,2023,R,Y,0,0,0
92086,10,2023,R,Y,161,90458,562
92091,10,2023,R,N,224,98766,441
92092,10,2023,R,Y,0,0,0
92093,10,2023,R,Y,0,0,0
92096,10,2023,R,Y,0,0,0
92101,10,2023,R,Y,12620,7707704,611
92102,10,2023,R,N,3503,906375,259
92103,10,2023,R,Y,5777,1387395,240
92104,10,2023,R,N,6698,1420542,212
92105,10,2023,R,N,4240,995133,235
92106,10,2023,R,Y,1611,467709,290
92107,10,2023,R,N,3418,738709,216
92108,10,2023,R,N,6715,2313463,345
92109,10,2023,R,N,7320,1766333,241
92110,10,2023,R,N,3323,972880,293
92111,10,2023,R,Y,3326,837081,252
92112,10,2023,R,Y,0,0,0
92113,10,2023,R,N,2438,573953,235
92114,10,2023,R,N,2599,766280,295
92115,10,2023,R,Y,6132,1276116,208
92116,10,2023,R,N,4712,928884,197
92117,10,2023,R,N,4323,983637,228
92118,10,2023,R,Y,7933,3565695,449
92119,10,2023,R,N,1897,545185,287
92120,10,2023,R,N,3316,1171580,353
92121,10,2023,R,Y,598,1863016,3115
92122,10,2023,R,N,8459,2414197,285
92123,10,2023,R,Y,3878,1911378,493
92124,10,2023,R,N,2457,758519,309
92126,10,2023,R,Y,6512,1648329,253
92127,10,2023,R,N,3917,1793224,458
92128,10,2023,R,Y,4634,1606083,347
92129,10,2023,R,N,3541,994467,281
